,名称,图画信息,图画标签,图片信息
114,仿古山水册页1,"创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿古山水册页8张_明 董其昌 仿古山水册页 (1) 风格流派： 华亭画派 所属时期： 明代 题材： 山水画,书法篆刻 材质： 纸本 收藏地点： 大都会艺术博物馆",董其昌作品 大都会艺术博物馆藏品 山 树 汉字,
115,封泾仿古,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 封泾仿古 纸本 30.4x81.5 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 30.4 x 81.5 cm 收藏地点： 台北故宫博物院,董其昌画作 台北故宫博物院藏品 山 树 汉字 印章,
116,书画合壁图全卷,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 书画合壁图全卷纸本29.3X340.8辽博 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 29.3 X 340.8 cm 收藏地点： 辽宁省博物馆,董其昌画作 辽宁省博物馆藏品 山 树 汉字,
117,仿黄子久山水图卷,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿黄子久山水图卷绢30X109 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 30 X 109 cm,董其昌作品 山 树 文字 印章,
118,唐寅花鸟拓片,创作者： 唐寅 原标题： 书法图库_新增拓片_画像_【唐寅花鸟拓片】 风格流派： 吴门画派 所属时期： 明代 题材： 花鸟画 材质： 拓印,唐寅作品 鸟 动物 树枝,
119,柴门掩雪图,创作者： 唐寅 原标题： 历代绘画图库_明_明_唐寅_明 唐寅 柴门掩雪图 纸本82x46.7 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 82 x 46.7 cm,唐寅作品 山 树 建筑 文字,
120,山亭文会图-代,创作者： 王绂 原标题： 历代绘画图库_明_明_明 王绂 -山亭文会图_代 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 219×87.6cm 收藏地点： 故宫博物院,王绂画作 故宫博物院藏品 山 树 文字 亭子 人,绘崇山峻岭，山峰挺拔秀美，树木苍翠，山间留白处如云雾穿行；山脚下河水蜿蜒流淌，波光粼粼，河岸左侧一座凉厅内数人集会，大家一起谈书论画，以文会友。
121,画观音书金刚经合璧(全卷),"创作者： 王绂 原标题： 书法图库_7.明_辽033-明 王绂 画观音书金刚经合璧_明 王绂 画观音书金刚经合璧(全卷)纸本24.6x78辽博 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻,宗教绘画 材质： 纸本 尺寸： 24.6x78cm 收藏地点： 辽宁省博物馆",王绂作品 辽宁省博物馆藏品 金刚经 观音,画卷右侧绘观音画像，观音打坐念经，一旁的童子双手合十；长卷左侧以行楷书写《金钢金》全篇，字体工整温润，雅致平和。
122,搜山图2,创作者： 陆治 原标题： 历代绘画图库_明_明_陆治_明 陆治搜山图 波士顿艺术美术馆藏_陆治搜山图2 风格流派： 吴门画派 所属时期： 明代 题材： 神话绘画 材质： 绢画 收藏地点： 波士顿美术馆,陆治画作 波士顿美术馆藏品 妖怪 水 树,
123,二郎神搜山图卷（隔水）,创作者： 陆治 原标题： 历代绘画图库_明_明_陆治_明 陆治搜山图 波士顿艺术美术馆藏_明 陆治 二郎神搜山图卷 绢本61 x 806波士顿（隔水） 风格流派： 吴门画派 所属时期： 明代 题材： 神话绘画 材质： 绢画 收藏地点： 波士顿美术馆,陆治画作 波士顿美术馆藏品 隔水页,
124,画观音书金刚经合璧(全卷)分段6,"创作者： 王绂 原标题： 书法图库_7.明_辽033-明 王绂 画观音书金刚经合璧_分段_(全卷)分段6 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻,宗教绘画 材质： 纸本 收藏地点： 辽宁省博物馆",王绂画作 辽宁省博物馆藏品 金刚经 文字,
125,秋山行旅图卷1,创作者： 萧云从 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 25.4×551.8cm,萧云从作品 山 树 车马 旅人 房屋,
126,萄图（笔耕园）,"创作者： 挠庵 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 27.5×29cm 收藏地点： 东京国立博物馆",中国花鸟画 葡萄藤 葡萄 葡萄叶,绢本，水墨，27.5×29cm，收藏于日本东京国立博物馆《唐绘手鉴笔耕园》中。绘一枝葡萄滕自右上斜入画面，滕上一串葡萄垂下，大小不一，形状圆；葡萄叶正反绘出，正面深色，反面淡色，叶脉清晰；主枝前几枝细滕卷曲前伸，自在洒脱。
127,花卉双禽图,创作者： 佚名 所属时期： 明代 题材： 花鸟画 收藏地点： 故宫博物院,花鸟画作 花枝 两只鸟,
128,画芙蓉白鹭轴,"创作者： 郑石 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 144.4*74.3cm 收藏地点： 台北故宫博物院",中国花鸟画 鹭鸶 柳树 芙蓉,绢本，设色，144.4*74.3cm，台北故宫博物院藏。图上花卉重设色，宫廷味很浓，有着吕纪的风格。图绘柳树下三只鹭鸶，一对相向而立，还有一只伏于树根处；柳树杆中部，芙蓉花枝相拥，花儿粉白娇嫩，清新动人。郑石，明代宫廷花鸟画家，此幅为其唯一传世的作品。
129,鸡鸣图扇页,创作者： 陈嘉言 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨 尺寸： 29x43cm 收藏地点： 故宫博物院,中国花鸟画 湖石 树木 鸡 草,
130,扇面画选6,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 41x55cm",中国扇面画 山水画 青绿山水 亭阁 树林,
131,扇面画选8,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 41x55cm",中国扇面画 山水画 人物画 青绿山水 人物 树木,
132,扇面画选2,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 41x55cm",中国扇面画 树木 水 小舟 人物 山,
133,扇面画选5,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 41x55cm",中国扇面画 树木 水 人物 船,
134,枇杷八哥图团扇页,"创作者： 佚名（传吴炳) 所属时期： 明代 题材： 花鸟画 材质： 水墨,纸",花鸟画 动物画 枇杷 鸟,画中八哥体态肥硕，立于枇杷枝上，盯着成熟的枇杷果实，似在思索如何下口。
135,缂丝花卉册-蝴蝶花,创作者： 佚名 所属时期： 明代 创作地点： 中国 题材： 花鸟画 尺寸： 41 x 42 cm 收藏地点： 故宫博物院,中国花鸟画 湖石 花草 蝴蝶花,
136,梧竹书堂图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 148.8X57.2cm 收藏地点： 上海博物馆",中国山水画 山石 湖水 树木 凉亭 桌 笔墨纸砚 人物,纸本，设色，148.8X57.2cm，上海博物馆藏。图上一读书人靠于椅子上似若有所思，前面桌子上摆放笔墨纸砚；草顶片瓦的凉亭周围绿竹葱郁，梧桐长势繁茂；远处群山耸立，此处环境优美，为读书人的幽静之处。技法上，坡石勾皴用拖泥带水法兼干笔皴擦，再以水墨淡淡晕染，颇见浑厚。
137,枇杷绣眼图团扇页,创作者： 佚名（传吴炳) 所属时期： 明代 题材： 花鸟画,花鸟画作 枇杷 鸟,图中的枇杷饱满圆润，鸟儿羽毛细致，神情专注，而它盯是前面的枇杷果还是果上的那只小蚊子呢？
138,东篱秋色图,创作者： 佚名（旧传李相） 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 169.1* 107.7cm,山水画 风景画 山 树木 房屋,绢本，设色，169.1* 107.7cm，台北故宫博物院藏。此画名取自东晋诗人陶渊明的《饮酒·其五》诗中之句，描绘诗人归隐田园的情景。远处山峰挺拔，墨色如黛；数座房屋隐蔽于山间树林中，人们房前屋后忙碌，自得其乐；前有流水潺潺，后有高山背靠，景色如画，归隐于此，胜为安逸。
139,毛诗图立轴,创作者： 周臣 风格流派： 院体画 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 54.70x38 收藏地点： 普林斯顿大学美术馆,明代院体画 诗经 茅草屋 鸭子 池塘 闲聊,纸本，设色，54.70x38cm，美国普林斯顿大学美术馆藏。《毛诗》为《诗经》传诗者之毛家版本，且最为完整，后《诗经》又被称为《毛诗》。绘山峦连绵，树木苍翠，茅屋数间，数人聚集谈天说地，场面和气。周臣，字舜卿，别号东村，鹅场散人，“明四家”中的唐寅、仇英出自其门下。
140,兰竹图,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 26.8x73cm 收藏地点： 故宫博物院",中国花鸟画 兰草 竹,纸本，水墨，26.8x73cm，故宫博物院藏。图绘一棵兰草和一枝竹自左向右散开，兰花叶子纤细柔软，花儿在兰叶中羞涩绽放，虽无色彩，但似闻得见兰花的淡淡香味；一枝竹子拨地而起，细细杆子、嫩嫩的叶子，看得出是一棵新生的竹子。画面干净、整洁，所画内容不多，但仍丰富饱满。
141,缂丝花卉册-玉兰海棠,创作者： 佚名 所属时期： 明代 创作地点： 中国 题材： 花鸟画 尺寸： 41 x 42 cm 收藏地点： 故宫博物院,中国花鸟画 湖石 玉兰 海棠,
142,缂丝花卉册-芝兰,创作者： 佚名 所属时期： 明代 题材： 花鸟画 收藏地点： 故宫博物院,花鸟画作 兰芝 蝴蝶,
143,缂丝花卉册-茶花水仙,创作者： 佚名 所属时期： 明代 材质： 刺绣 收藏地点： 故宫博物院,明代刺绣 水仙花 绿叶,
144,岩壑清晖册6,"创作者： 佚名 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨",中国山水画 河流 桥 树木 山 房子 马,
145,岩壑清晖册7,创作者： 佚名 所属时期： 明代 材质： 绢画,明代绢本 凉亭 柳树 岩石 围栏 池塘 荷花 荷叶,
146,山水人物01,"创作者： 唐寅 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画,山水画 材质： 水墨,纸本 尺寸： 20x33cm",中国文人画 山石 山路 台阶 树木 人物,
147,山水人物03,"创作者： 唐寅 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 20x33cm",中国文人画 山石 竹 行者 城门 山路,
148,山水人物06,"创作者： 唐寅 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 20x33cm",中国文人画 山 水 树木 云雾 飞鸟,
149,花卉图册页第三开,创作者： 文俶 所属时期： 明代,,
150,花卉图册页第二开,创作者： 文俶 所属时期： 明代,,此套《花卉图册》共八开，其中四幅全花卉，另四幅为花卉和湖石，笔墨清秀，色彩清新，体现出自然界的盎然生趣。文俶，精于花草虫蝶画的创作，为明代画家文从简女，文徵明玄孙女，代表作品有《内府本草》，据说有一千多幅本草图，耗时三年完成。
151,花卉图册页第五开,创作者： 文俶 所属时期： 明代,,
152,花卉图册页第八开,创作者： 文俶 所属时期： 明代,,
153,花卉图册页第四开,"创作者： 文俶 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 收藏地点： 故宫博物院",中国花鸟画 花草,
154,得趣在人10,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 河水 亭子 山 人 窗帘,
155,风竹图,"创作者： 唐寅 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 83.4x44.5cm 收藏地点： 故宫博物院",中国花鸟画 竹,纸本，墨笔，83.4*44.5cm，北京故宫博物院藏。图绘风中之竹向右侧倾斜，体现出不见风叶摇摆的动感场景。技法上，以“浓墨为面，淡墨为背”，写意象之竹，融以书法用笔，其飞白效果颇具文人趣味，其自题书法端庄秀美，笔划劲挺，独具唐氏风格。
156,秋葵折枝图,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 65.4x30.3cm 收藏地点： 台北故宫博物院",中国花鸟画 秋葵,纸本，水墨 ，65.4*30.3cm，台北故宫博物院藏。 图绘折枝秋葵一枝，花开艳丽夺目，叶片繁多茂盛，应是一株长势很好的秋葵。技法上，采用浓淡墨穿插其间，将花与叶的清丽、委婉表现的淋漓尽致，于是一枝亭亭玉立的秋葵跃然纸上。
157,顾绣十六应真册1,创作者： 佚名 所属时期： 明代 材质： 刺绣 尺寸： 28 x 28 cm 收藏地点： 故宫博物院,刺绣名品 菩萨 云朵 旗帜 岩石,
158,顾绣十六应真册3,创作者： 佚名 所属时期： 明代 创作地点： 中国 材质： 刺绣 尺寸： 28 x 28 cm 收藏地点： 故宫博物院,中国风俗画 人物 山石 树木 书卷,
159,顾绣十六应真册5,创作者： 佚名 所属时期： 明代 创作地点： 中国 题材： 神话绘画 材质： 刺绣 尺寸： 27 x 24 cm 收藏地点： 故宫博物院,中国风俗画 神话故事 山石 湖石 人物 神兽,
160,得趣在人1,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 书法 题字 印章,
161,得趣在人2,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 篮子 树叶 花 鸟,
162,得趣在人7,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 昆虫 菠菜 果子,
163,得趣在人13,创作者： 汪中 所属时期： 明代 尺寸： 30 x 27 cm 收藏地点： 上海博物馆,汪中作品 蜻蜓 叶子 花,
164,山水诗画册11,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 26.4×27.3cm 收藏地点： 大都会艺术博物馆",中国山水画 树木 人物 灌溉 木桶,
165,山水诗画册15,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 26.4×27.3cm 收藏地点： 大都会艺术博物馆",中国山水画 湖石 竹 树木 人物 亭子 芭蕉,
